Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,SITE_WEB,LONGITUDE,LATITUDE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
ASCAQU033FS000DN,01/08/2014,Activité sportive,Club de Canoë de Pessac-sur-Dordogne,"Les quais
",,,,33890,PESSAC-SUR-DORDOGNE,33319,+33 5 57 47 49 46,+33 6 10 37 74 20,www.canoe-fjep.org,0.090033,44.811102,"
",Canoé kayak VTT Cyclotourisme,,,,01/01/2014|31/12/2014|||||,,,,,
ASCAQU024FS0008W,09/07/2014,Activité sportive,Combas location VTT,,,,combas,24590,SAINT-CREPIN-ET-CARLUCET,24392,+33 5 53 28 64 00,,www.perigordgites.com,1.2734329,44.9487886,"
",VTT,,,,,,,,,
ASCAQU033FS00138,05/11/2014,Activité sportive,Cool Bike,"77 quai des Chartrons
",,,,33000,BORDEAUX,33063,+33 5 33 48 13 86,,www.coolbik2.wix.com,-0.5671576,44.8534298,"
",Cyclotourisme Vélo électrique Roller / skate VTT,,,,01/01/2014|31/12/2014|11:00|20:00|||Lundi,"Tarif de base|5,00||location vélos ville journée - tarif unique",,,,
ASCAQU04001WV7LE,18/11/2014,Activité sportive,Cycles Brogniez,,,262 avenue du 14 Juillet,,40600,BISCARROSSE VILLE,40046,+33 5 58 78 13 76,,,-1.1663854,44.3965890,"
",Cyclotourisme VTT,,,,01/01/2014|31/12/2014|||||,,,,,
ASCAQU047FS0008M,18/09/2014,Activité sportive,Cycles DAROCHA ,,,Rue Paul PERSIL,,47120,DURAS,47086,+33 5 53 83 71 54,+33 6 85 58 65 29,,0.18139779,44.6765343,"
",Cyclotourisme VTT,,,,,,,,,
ASCAQU040FS001C8,01/08/2014,,Cycles Greber,"555 avenue JF Kennedy
",,,,40000,MONT-DE-MARSAN,40192,+33 5 58 85 94 67,,,-0.4969488,43.8822369,"
",Cyclotourisme,,,,||||||Dimanche - Lundi,,,,,
ASCAQU040FS00071,01/08/2014,,Cycles Lestage,"46/48 avenue de la Liberté
",,,,40990,SAINT-PAUL-LES-DAX,40279,+33 5 58 91 58 61,,,-1.0518452,43.7219754,"
",Cyclotourisme,,,,,,,,,
ASCAQU04001WV7LF,02/10/2014,Activité sportive,Cycles Loisirs' Boulevard,,,543 boulevard d'Arcachon,,40600,BISCARROSSE PLAGE,40046,+33 5 58 78 33 63,,www.location-velos-biscarrosse.com,-1.2518858,44.4459498,"
",Cyclotourisme VTT,,,Accueil Vélo # Vélodyssée,01/04/2014|25/10/2014|||||,,,,,
ASCAQU033FS0006I,18/10/2014,Activité sportive,Cycles Océan,"56, boulevard de la Plage
",Cap Ferret,,,33970,LEGE-CAP FERRET,33236,+33 5 56 03 75 35,,,-1.2435579,44.6509481,"
",Cyclotourisme VTT,,,,01/06/2014|31/08/2014|||||,,,,,
ASCAQU040FS001C7,07/08/2013,,Cycles Pascal et Michaël,"149, avenue du Président JF Kennedy
",,,,40000,MONT-DE-MARSAN,40192,+33 5 58 75 28 60,,,-0.4989694,43.8856688,"
",Cyclotourisme,,,,,,,,,
ASCAQU040FS0018I,01/08/2014,Activité sportive,Cyclescapade Location de vélos,"Camping La Mer
",Avenue de l'océan,,,40530,LABENNE OCEAN,40133,,+33 6 19 43 58 42,www.cyclescapade.fr,-1.4624046,43.5959329,"
",Cyclotourisme,,,Accueil Vélo # Vélodyssée,01/04/2014|30/09/2014|||||,,,,,
ASCAQU040FS001EQ,03/11/2014,Activité sportive,Cycl'évasion,,,,,40100,DAX,40088,+33 5 58 74 27 37,,http://www.cycl-evasion.com/,-1.0647729,43.6999912,"
",VTT Cyclotourisme,,,,,,,,,
ASCAQU040FS001DM,03/10/2014,Activité sportive,Cyclo Landes,"17 - 18 Rue de la Bastide
",Centre Commercial Les Gourbets,,,40600,MOLIETS-ET-MAÂ,40187,+33 5 58 48 85 48,,,-1.3852080,43.8509702,"
",Cyclotourisme,,,,,,,,,
ASCAQU040FS000WG,02/12/2014,Activité sportive # Formule itinérante,Cyclo Landes Location,"Quai de la pêcherie
",Résidence le Grand Pavois,,,40130,CAPBRETON,40065,+33 5 58 41 89 37,,www.cyclolandes.com,-1.4331096,43.6522394,"
",Cyclotourisme,,,,,,,,,
ASCAQU064FS000MN,21/10/2014,Activité sportive,Cyclo Station ,,,21 rue Sopite,,64500,SAINT-JEAN-DE-LUZ,64483,+33 3 36 63 14 24,+33 6 63 14 24 40,cyclostation64.e-monsite.com,-1.6601048,43.3903215,"
",Cyclotourisme VTT,,,,01/01/2014|31/12/2014|||||,,,,,
ASCAQU033FS0006U,18/10/2014,Activité sportive,Cycloland,"60, route du Cap Ferret
",Grand Piquey,,,33950,LEGE-CAP FERRET,33236,+33 7 81 01 28 18,,www.cycloland.fr,-1.1809444,44.7452092,"
",Cyclotourisme VTT,,,,01/07/2014|31/12/2014|||||,,,,,
ASCAQU033FS0017K,01/08/2014,Activité sportive,Cyvea mobilité propre,"28, cours du Chapeau Rouge
",,,,33000,BORDEAUX,33063,+33 5 56 81 59 98,,www.cyvea.com,-0.5724083,44.8422142,"
",Cyclotourisme,,,,01/01/2014|31/12/2014|10:00|19:00|||Dimanche - Lundi,,,,,
ASCAQU033FS0001K,21/11/2014,Activité sportive,Delort Sport - Location de vélos,"125 boulevard de la République
",,,,33510,ANDERNOS-LES-BAINS,33005,+33 5 56 82 11 45,,www.delort-sport.fr,-1.096526,44.741096,"
",Cyclotourisme VTT,,,,01/01/2014|31/12/2014|10:00|12:30|14:30|19:00|Dimanche - Lundi,"Tarif de base|8,50|34,00|",,,,
ASCAQU047FS00030,16/10/2014,Activité sportive # Formule itinérante,Emeraude Navigation,,,,Pont de Pont-des-Sables,47200,FOURQUES-SUR-GARONNE,47101,+33 5 53 89 16 85,+33 6 13 45 44 85,www.emeraude-navigation.com,0.13908863,44.4608936,"
",VTT Motonautisme (bateau à moteur),Bateaux à moteur habitables,,Sourire du Lot-et-Garonne,01/01/2014|31/12/2014|||||,"Tarif de base|530,00||Bateau habitable à partir de 530 euros la semaine # Tarif de base|30,00||Bateaux sans permis à partir de 30 euros pour 1 heure # Tarif de base|8,00|13,00|Location de VTT : 8e/heure-11/demi journée-13/journée",,,,
ASCAQU033FS0004R,01/08/2014,Activité sportive,Ericycles,"5, rue Cardinal Donnet
",,,,33780,SOULAC-SUR-MER,33514,+33 5 56 73 62 89,,,-1.1231589,45.5135196,"
",VTT Cyclotourisme,,,Accueil Vélo # Vélodyssée,01/06/2014|31/12/2014|10:00|12:30|15:00|18:30|Lundi,"Tarif de base|7,00|95,00|",,,,
ASCAQU033FS0011I,17/07/2014,Activité sportive,Esprit Cycles,"27 rue du Docteur Charles Nancel Pénard
",,,,33000,BORDEAUX,33063,+33 5 56 58 78 34,,www.espritcyclesbordeaux.com,-0.5814654,44.8394659,"
",Cyclotourisme,,,,01/01/2014|31/12/2014|08:30|19:00|||Dimanche # 01/01/2014|01/01/2014|10:00|19:00|||,"Tarif de base|10,00||demi-journée # Tarif de base|15,00||journée # Tarif de base|20,00||week-end # Tarif de base|70,00||semaine",,,,
ASCAQU04001TC3DV,01/08/2014,Activité sportive,Freelandes Shop,,Commerces du Lac Marin,6 Avenue de la Pêtre,,40140,SOUSTONS PLAGE,40310,+33 5 58 48 09 81,,,-1.4090287,43.7751223,"
",Cyclotourisme VTT Surf Bodyboard Stand-up-paddle-board,,,,21/04/2014|30/09/2014|||||,,,,,
ASCAQU033FS000F1,31/10/2014,Activité sportive,Fun Bike,"109 avenue de Maubuisson
",,,,33121,CARCANS-MAUBUISSON,33097,+33 5 56 82 96 74,+33 6 80 04 53 15,www.funbike.fr,-1.1430931,45.0700049,"
",VTT Cyclotourisme,,,Accueil Vélo # Famille Plus # Vélodyssée,12/04/2014|11/11/2014|||||,"Tarif de base|10,00|100,00|Remorque 1/2 journée à 15 jours # Tarif de base|15,00|350,00|Vélos électriques de 2h au mois # Tarif de base|2,00|10,00|Siège bébé de 1j à 1 semaine # Tarif de base|20,00|180,00|Tandem de 1/2 journée à 15 jr # Tarif de base|8,00|72,00|Vélos enfants de 1/2 journée à 15jr # Tarif de base|8,00|72,00|Draisienne (vélo apprentissage, sans pédales) de 1jr à 15jr # Tarif de base|10,00|90,00|Vélos adutes de1/2jr à 15jr # Tarif de base||120,00|Leçons apprentissage du vélo - Forfait 10 séances",,,,
ASCAQU033FS000SS,17/09/2014,Activité sportive,He'enalu Surf Shop - Location de Vélos,,,1 rue des sapins verts,,33121,CARCANS-OCEAN,33097,+33 5 56 03 42 72,+33 6 62 35 86 20,www.he-enalu-surfshop.com,-1.187242,45.082991,"
",VTT Cyclotourisme,,,Accueil Vélo # Vélodyssée,01/04/2014|30/11/2014|||||,"Tarif de base|6,00||Location vélos enfants 1/2 journée # Tarif de base|9,00||Location vélos adultes 1/2 journée",,,,
ASCAQU064FS000SF,02/11/2014,Activité sportive,IDEcycle,,,Place d'Espagne,,64000,PAU,64445,+33 9 69 39 00 64,,www.idecycle.com,-0.3666610,43.2983973,"
",Cyclotourisme,,,,01/01/2014|31/12/2014|||||,"Tarif de base|1,00|25,00|adhésion # Tarif de base|1,00|48,00|tarif après adhésion selon la durée de location.",,,,
ASCAQU033FS0018L,01/08/2014,Activité sportive,La Bricaillerie,"21 avenue Guy Célerier
",Taussat,,,33138,LANTON,33229,+33 5 56 26 04 69,,,-1.0720749,44.7207780,"
",VTT Cyclotourisme,,,,01/01/2014|31/12/2014|||||,,,,,
ASCAQU033FS0001R,01/08/2014,Activité sportive,La Bricaillerie ,"21, rue Guy Célérier
",,,,33148,TAUSSAT,33229,+33 5 56 26 04 69,,,-1.0720749,44.7207780,"
",Cyclotourisme,,,,01/01/2014|31/12/2014|||||,,,,,
ASCAQU040FS001OE,03/11/2014,Activité sportive,La press'dacquoise,"Balcon de l'Adour
",,,,40100,DAX,40088,+33 5 58 58 35 41,,,-1.0519450,43.7086080,"
",Cyclotourisme,,,,,,,,,
ASCAQU033FS00164,31/10/2014,Activité sportive,Le Garage à Vélos,"108 avenue du Lac 
",,,,33990,HOURTIN,33203,+33 5 56 09 69 60,,,-1.0607914,45.1852023,"
",Cyclotourisme VTT,,,Accueil Vélo,01/01/2014|31/12/2014|||||,"Tarif de base|9,00|11,00|Location vélo à la journée",,,,
ASCAQU033FS0017H,20/11/2014,Activité sportive,Le Village Western - location de vélos,"chemin de Bécassine
",,,,33990,HOURTIN,33203,+33 5 56 09 10 60,,www.village-western.com,-1.0783424,45.1798958,"
",VTT,,,,12/04/2014|30/09/2014|||||,Tarif de base|||Vélo enfant de la 1/2 journée à 14 jours # Tarif de base|||Beach cruiser de la 1/2 journée à 14 jours # Tarif de base|||Vélo adulte de la 1/2 journée à 14 jours  # Tarif de base|||Remorque de la 1/2 journée à 14 jours,,,,
ASCAQU033FS0013U,17/07/2014,Activité sportive,Liberty Cycles,"104 cours de l'Yser
",,,,33000,BORDEAUX,33063,+33 5 56 92 77 18,,www.libertycycles.fr,-0.5694809,44.8259939,"
",Cyclotourisme VTT,,,,01/01/2014|01/01/2014||12:30|14:00|18:30|Dimanche - Samedi,,,,,
ASCAQU033FS0009T,01/08/2014,Activité sportive,Locabeach Arcachon Centre,"326 boulevard de la Plage
",,,,33120,ARCACHON,33009,+33 5 56 83 39 64,,www.locabeach.com,-1.1733484,44.6623652,"
",VTT Cyclotourisme Moto Scooter Vélo électrique,,,,01/01/2014|31/12/2014|09:30|12:30|14:00|19:00|Lundi,,,,,
ASCAQU033FS000ER,31/10/2014,Activité sportive,Locacycle,"11 avenue de l'Europe
",,,,33680,LACANAU OCEAN,33214,+33 5 56 26 30 99,,www.locacyclelacanau.fr,-1.1968767,45.0016560,"
",VTT Cyclotourisme,,,Accueil Vélo # Famille Plus # Vélodyssée,01/04/2014|30/09/2014||||| # 15/10/2014|05/11/2014|||||,,,,,
ASCAQU040FS000MP,14/03/2014,Activité sportive,Locacycles,,,19 Grand Rue,,40480,VIEUX-BOUCAU-LES-BAINS,40328,+33 5 58 48 04 79,,www.locacycles.fr,-1.3988792,43.7859282,"
",Cyclotourisme,,,Accueil Vélo # Vélodyssée,15/02/2014|10/11/2014|||||,,,,,
ASCAQU024FS000BM,11/02/2014,Activité sportive,"Location cycles et VTT, Jean-Pierre Mouret","La Mongie
",Route de Belvès,,,24540,CAPDROT,24080,+33 5 53 22 63 46,,,0.9027150,44.6906580,"
",Cyclotourisme,,,,,,,,,
ASCAQU024FS0006Q,01/08/2014,Activité sportive,Location de Vélo,,Office de Tourisme Lascaux-Dordogne Vallée Vézère,"19, Avenue de la Préhsistoire",,24620,LES EYZIES-DE-TAYAC-SIREUIL,24172,+33 5 53 06 97 05,,www.lascaux-dordogne.com,1.01271629,44.9362483,"
",VTT,,,,01/07/2014|31/08/2014|09:00|18:30||| # 01/09/2014|30/09/2014|09:30|12:30|14:00|18:00|,Tarif de base|||tarif/adulte/demi-journée. # Tarif de base|||tarif/adulte/journée. # Tarif de base|||tarif/enfant/demi-journée. # Tarif de base|||tarif/enfant/journée.,,,,
ASCAQU040FS001CW,07/10/2014,Activité sportive,Location de vélo au Syndicat d'initiative de Brocas,"Mairie
",,,,40420,BROCAS-LES-FORGES,40056,+33 5 58 51 40 23 # +33 5 58 51 40 68,,,-0.5355160,44.0447140,"
",Cyclotourisme,,,,01/07/2014|31/08/2014|||||,,,,,
ASCAQU040010R9RU,02/04/2014,,Location de vélos,"Camping les rives de l'adour
",,Rue René Crabos,,40500,SAINT-SEVER,40282,+33 5 58 76 04 60,,www.camping-lesrivesdeladour.com,-0.5641651,43.7660732,"
",Cyclotourisme,,,,,Tarif de base|||1/2 journée # Tarif de base|||journée # Tarif de base|||3 jours # Tarif de base|||semaine,,,,
ASCAQU040FS000SD,01/08/2014,,Location de vélos,"place Gambetta
",,,,40400,TARTAS,40313,+33 5 58 73 39 98,,,-0.8091844,43.8327978,"
",Cyclotourisme VTT,,,,,Tarif de base|||location à la demie journée,,,,
ASCAQU040FS0004W,01/08/2014,Activité sportive,Location de vélos - Agréou Surf Shop   ,,Résidence le Grand Large,17 avenue de la Grande Plage,,40510,SEIGNOSSE,40296,+33 5 58 43 14 45,,www.lagreou.com,-1.4328199,43.7073957,"
",VTT Cyclotourisme,,,Accueil Vélo # Famille Plus # Vélodyssée,12/04/2014|27/04/2014||||| # 01/06/2014|30/09/2014|||||,,,,,
ASCAQU040014XAEE,27/11/2014,Activité sportive,Location de vélos - Brooks bikes,,,226 avenue de l'Océan,Contis-Plage,40170,SAINT-JULIEN-EN-BORN,40266,,+33 6 76 70 28 59,www.brooks-bikes.com,-1.3209477,44.0908909,"
",Cyclotourisme,,,,01/01/2014|31/12/2014|||||,,,,,
ASCAQU040011COOO,01/08/2014,Activité sportive,Location de vélos - Côte Ouest Locations  ,,,5 place Victor Gentille,,40510,SEIGNOSSE,40296,+33 5 58 41 63 05,,,-1.4313125,43.707861,"
",VTT Vélo électrique Cyclotourisme,,,Famille Plus,29/03/2014|30/10/2014|08:30|20:00|||,"|||moins 20% en juin et septembre, octobre.",,,,
ASCAQU04001JUL1G,28/11/2014,Activité sportive,Location de vélos - Cycles Labat,,,Rue de la poste,,40550,LEON,40150,+33 5 58 48 71 98,,,-1.3006212,43.8741270,"
",Cyclotourisme,,,,01/01/2014|31/12/2014|09:15|12:00|14:00|19:00|,"Tarif de base|6,90|10,00|tarif 1/2 heure # Tarif de base|||Tarif à la journée # Tarif de base|||Tarif pour 2 jours # Tarif de base|||Tarif pour 3 jours # Tarif de base|||Tarif pour 4 jours # Tarif de base|||Tarif semaine",,,,
ASCAQU04001TXK86,01/08/2014,Activité sportive,Location de vélos - Cyclo Land,,,8 rue du Casino,,40200,MIMIZAN PLAGE,40184,+33 5 58 09 16 65,+33 6 33 57 44 98,,-1.2950348,44.2142174,"
",Cyclotourisme,Cyclo,,Accueil Vélo # Vélodyssée,01/04/2014|30/06/2014|09:00|12:30|14:00|18:00| # 01/07/2014|31/08/2014|09:00|20:00||| # 01/09/2014|30/09/2014|09:00|12:30|14:00|18:00|,"Tarif de base|7,80|17,50|la 1/2 journée # Tarif de base|15,00|29,00|la journée + 1H d'activité # Tarif de base|36,00|39,00|sortie vélo + activité",,,,
ASCAQU024FS000ER,06/11/2014,Activité sportive,Location de vélos - Dordogne Cycle Hire,"La Gondie
",,,,24160,SAINT-MARTIAL-D'ALBAREDE,24448,,+33 6 06 47 29 94,,1.04149500,45.3026428,"
",VTT Cyclotourisme,,,,02/01/2014|31/12/2014|||||,,,,,
ASCAQU040FS0019K,01/08/2014,Activité sportive,Location de vélos - Location Océan,,Résidence Le Trimaran,12 Avenue de la Grande Plage,,40510,SEIGNOSSE,40296,+33 5 58 72 42 98,+33 7 60 93 53 88,,-1.4334314,43.7070776,"
",VTT Cyclotourisme,,,Famille Plus,12/04/2014|02/11/2014|09:00|19:00|||,,,,,
ASCAQU040FS0013A,14/03/2014,Activité sportive,Location de vélos - Raynal Jean Luc,,,15 rue des Lacs,,40200,MIMIZAN PLAGE,40184,+33 6 75 60 63 80,,,-1.296333,44.2068585,"
",Cyclotourisme,,,,,,,,,
ASCAQU040014XAJC,28/11/2014,Activité sportive,Location de vélos - Sourgens Jean Yves,,,208 route des lacs,,40170,SAINT-JULIEN-EN-BORN,40266,+33 5 58 42 75 12,,www.sourgens-cyclepeche.blogspot.com ,-1.2267780,44.0634247,"
",Cyclotourisme,,,,01/01/2014|31/12/2014|||||,,,,,
ASCAQU040FS000PO,14/03/2014,Activité sportive,Location de vélos - Sport 2000 ,,,2 avenue Claude Monet,,40200,MIMIZAN,40184,+33 5 58 09 04 98,,,-1.2274003,44.2042660,"
",Cyclotourisme,Cyclo,,,||||||Dimanche # ||||||Dimanche,Tarif de base|||,,,,
ASCAQU040011COOQ,01/08/2014,Activité sportive,Location de vélos - Surf Shop l'Esquiro   ,,,49 Avenue du Penon,,40510,SEIGNOSSE,40296,+33 5 58 43 33 35,,www.lesquiro.com,-1.4356094,43.6903929,"
",VTT Cyclotourisme,,,,01/04/2014|15/10/2014|||||,,,,,
ASCAQU040FS001II,02/04/2014,,"Location de vélos ""Le Chti Panier""","2 Place Jean Jaurès
",,,,40110,MORCENX,40197,+33 5 58 08 04 43 # +33 6 24 90 00 37,,,-0.9132787,44.0335816,"
",VTT,,,,,Tarif de base|||1/2 journée - Adultes # Tarif de base|||1/2 journée- Enfant # Tarif de base|||1/2 journée- Remorque  # Tarif de base|||La journée - Adultes  # Tarif de base|||La journée - Enfants # Tarif de base|||La journée - Remorque # Tarif de base|||3 jours - Adultes # Tarif de base|||3 jours- Enfants # Tarif de base|||3 jours - Remorque # Tarif de base|||1 semaine- Adultes # Tarif de base|||1 semaine - Enfants # Tarif de base|||1 semaine - Remorque # Tarif de base|||2 semaines - Adultes # Tarif de base|||2 semaines - Enfants # Tarif de base|||2 semaines - Remorque,,,,
ASCAQU040FS0011O,14/03/2014,,Location de vélos (camping Pipiou),,,route des campings,BP 42,40160,PARENTIS-EN-BORN,40217,+33 5 58 78 57 25,,,-1.1037420,44.3473670,"
",VTT,,,,,,,,,
ASCAQU040FS0011N,14/03/2014,,Location de vélos (Hôtel le Lagon Bleu),,,"74, route du lac",,40160,PARENTIS-EN-BORN,40217,+33 5 58 78 41 05,,,-1.0900975,44.3463648,"
",VTT,,,,,,,,,
